symbol,display_name,volume_24h,candles_count,trades,total_pnl,return_pct,profit_factor,win_rate_pct,expectancy,max_drawdown_pct,robustness_score
STX,STX,604312.697665,5001,97,-353.47873579262546,-35.34787357926253,0.7564066857379452,40.20618556701031,-3.6441106782744894,-40.14156343406947,-55.96110960136693
kNEIRO,kNEIRO,203937.7817380001,5001,101,-359.74339345791196,-35.97433934579119,0.7688941400558987,38.613861386138616,-3.5618157768110095,-56.077476735202566,-63.83454390989801
ATOM,ATOM,1391889.2471989996,5001,87,-362.80129208795586,-36.28012920879562,0.6769911360695099,40.229885057471265,-4.170129794114435,-48.43830381627747,-63.115533198423286
ETC,ETC,353438.6054020001,5001,71,-364.131344024392,-36.413134402439184,0.6576130878406801,32.3943661971831,-5.128610479216788,-50.620267735465696,-68.52457389389528
ZEREBRO,ZEREBRO,135620.629514,5001,105,-365.72833418390604,-36.5728334183906,0.7887449914165341,41.904761904761905,-3.4831269922276764,-67.57180025668629,-69.47733092928507
BRETT,BRETT,391162.170772,5001,106,-386.53170330586585,-38.653170330586605,0.8193978145958475,42.45283018867924,-3.646525502885527,-56.6979626795062,-65.89225921713911
YZY,YZY,147504.27625,4219,71,-391.1579639282713,-39.115796392827065,0.6711663804190057,26.76056338028169,-5.509267097581286,-49.9026878307328,-71.37325362001893
PENDLE,PENDLE,771591.4914,5001,80,-392.6757685040309,-39.267576850403074,0.7291745301533068,35.0,-4.908447106300386,-42.32805729898559,-65.06651422409199
ALT,ALT,313068.158527,5000,100,-404.9218248246063,-40.49218248246065,0.8033694085038688,38.0,-4.049218248246063,-57.33402002346888,-69.15919249419507
ONDO,ONDO,900238.0430999999,5000,96,-423.00535967989094,-42.30053596798905,0.6647192317120426,40.625,-4.406305829998864,-50.07984900401953,-68.2127282386015
MOVE,MOVE,2336739.0024600006,5001,92,-427.8986099037352,-42.789860990373484,0.7121518105114546,34.78260869565217,-4.65107184677973,-53.18821485072532,-71.20562138531973
SOPH,SOPH,300426.864777,5001,99,-431.94442343869025,-43.194442343869035,0.6936106480854981,35.35353535353536,-4.363074984229194,-47.49371851522019,-67.15890722223222
kFLOKI,kFLOKI,451581.272988,5001,85,-438.60436739102863,-43.860436739102894,0.6748651914326558,34.11764705882353,-5.160051381070925,-61.1818027450992,-78.16422448224856
KAITO,KAITO,709256.1189600002,5001,106,-438.98088318725905,-43.89808831872587,0.7436868477860101,39.62264150943396,-4.141329086672255,-53.91342436085844,-69.59430474891826
WLFI,WLFI,4052013.623939999,4166,118,-452.1935809583505,-45.219358095835105,0.7995313908634257,34.74576271186441,-3.8321489911724615,-66.76534471273075,-75.01046565704618
TAO,TAO,4443051.412579999,5001,126,-453.44600927665664,-45.34460092766569,0.776327427848986,36.507936507936506,-3.598777851402037,-51.33499180785951,-66.06367709710041
WLD,WLD,3109498.165973,5001,110,-459.1277116490914,-45.91277116490916,0.7797499716857977,40.0,-4.173888287719013,-57.73478415628206,-72.64350175247567
TON,TON,895134.4983100004,5001,94,-467.95809967873384,-46.795809967873446,0.6071318433173108,31.914893617021278,-4.9782776561567434,-51.041990107125244,-73.78718769031627
kPEPE,kPEPE,5177913.837642002,5001,112,-468.72019221716084,-46.872019221716144,0.7230394633202792,39.285714285714285,-4.18500171622465,-48.37754523243011,-68.47866772625078
YGG,YGG,227144.582538,5001,99,-470.0368804725803,-47.00368804725801,0.7141657951211706,31.313131313131315,-4.747847277500811,-63.829880844008734,-79.15542436614612
ADA,ADA,2644965.8381100004,5001,85,-492.5316923355476,-49.25316923355475,0.5698582396905547,36.470588235294116,-5.794490498065265,-53.82589536374205,-80.33551043614494
RUNE,RUNE,407183.5417700001,5001,89,-503.14114667706184,-50.31411466770619,0.5592967616791357,30.337078651685395,-5.653271310978223,-54.96572973986594,-80.81571975209842
FIL,FIL,386241.4834550002,5001,89,-515.6834752907297,-51.568347529073,0.6874468315635348,33.70786516853933,-5.794196351581232,-57.23128151334679,-83.27797981292194
MET,MET,311745.2998399999,3012,79,-521.8065151064036,-52.180651510640395,0.5815282821957993,37.9746835443038,-6.605145760840552,-66.65854164564044,-92.03709049987893
ASTER,ASTER,28292662.26898,3516,99,-533.6027032572632,-53.36027032572632,0.627557153159375,43.43434343434344,-5.3899262955279115,-74.49991308795315,-90.87904605378552
kLUNC,kLUNC,194491.40479,5001,90,-542.8748685186027,-54.287486851860244,0.5540755776311099,32.22222222222222,-6.031942983540031,-61.476055305200695,-87.96206328537447
LINK,LINK,5119780.693469999,5001,95,-544.5284082522545,-54.45284082522546,0.580269026284745,37.89473684210527,-5.731877981602679,-61.61606309197577,-86.67546744220789
APE,APE,433583.876686,5000,90,-549.2061061046392,-54.92061061046392,0.5731839686490261,31.11111111111111,-6.102290067829324,-62.78604870172712,-89.28443102295573
WCT,WCT,379588.0151700001,5001,94,-562.3581485003673,-56.235814850036704,0.6205229168351309,30.851063829787233,-5.982533494684758,-60.978227992549996,-88.49192823327864
SAGA,SAGA,533360.3425130001,5001,103,-573.4965326345618,-57.34965326345621,0.6448693928615216,38.83495145631068,-5.567927501306426,-67.9347257975897,-90.47565535184864
CC,CC,1098648.0984299998,2506,68,-577.5723504854908,-57.75723504854913,0.5647156783103473,45.588235294117645,-8.493711036551336,-60.11250339094776,-100.09718720982512
MELANIA,MELANIA,200743.700959,5001,112,-582.6090966656832,-58.26090966656832,0.6183007924573964,37.5,-5.201866934515029,-62.896758060348404,-86.49976407808091
NIL,NIL,396067.0224450001,5001,87,-590.9159476800087,-59.09159476800081,0.6277211130851043,32.18390804597701,-6.792137329655272,-67.76933754333915,-97.23750822599877
PUMP,PUMP,13799063.819226997,5001,117,-596.8233086984742,-59.68233086984745,0.6689687746865507,39.31623931623932,-5.10105392049978,-67.4533971231301,-88.90303296937074
UNI,UNI,28687332.788530003,5001,105,-615.2908249254605,-61.52908249254598,0.6229418860817778,35.23809523809524,-5.859912618337718,-70.88472852325214,-95.48860035455806
CFX,CFX,587712.2297919998,5001,112,-627.6174672147786,-62.76174672147785,0.5082770646359414,32.142857142857146,-5.603727385846237,-71.67769662676339,-95.14312462518663
ETHFI,ETHFI,614566.2902240002,5001,106,-628.0675893917373,-62.80675893917371,0.6075196117997274,32.075471698113205,-5.9251659376579,-62.80675893917371,-92.40669648768703
HYPER,HYPER,158325.331042,5001,103,-666.4157802828113,-66.64157802828112,0.4990255173130262,30.097087378640776,-6.470056119250595,-75.00790243331771,-103.1678491909945
